fips,county,state,state_code,male_count,female_count,median_age,population,female_percentage,lat,long,financialdata,total_count
13257,Stephens County,Georgia,GA,11765,13911,41.5,25676,54.17899984421249,34.55394199534727,-83.29347237703007,13257.0,25676
13259,Stewart County,Georgia,GA,3894,2148,36.4,6042,35.55114200595829,32.07848971206861,-84.8352170484292,13259.0,6042
13261,Sumter County,Georgia,GA,14359,15993,35.5,30352,52.69175013178703,32.03994282224766,-84.19699391602437,13261.0,30352
13263,Talbot County,Georgia,GA,3032,3346,49.2,6378,52.46158670429602,32.69949851204999,-84.53300952425894,13263.0,6378
13265,Taliaferro County,Georgia,GA,847,818,46.3,1665,49.129129129129126,33.56613476013978,-82.87877142234885,13265.0,1665
13267,Tattnall County,Georgia,GA,14888,10465,37.4,25353,41.27716641028675,32.04579765483292,-82.05812943063302,13267.0,25353
13269,Taylor County,Georgia,GA,3946,4247,44.4,8193,51.83693396802149,32.55547640005065,-84.2504742814891,13269.0,8193
13271,Telfair County,Georgia,GA,9346,6769,41.0,16115,42.004343779087804,31.9298058701554,-82.93901137308181,13271.0,16115
13273,Terrell County,Georgia,GA,4228,4631,40.9,8859,52.274523083869504,31.7769979123536,-84.43696997612308,13273.0,8859
13275,Thomas County,Georgia,GA,21219,23511,40.3,44730,52.562038900067066,30.863763927045305,-83.9193277570933,13275.0,44730
13277,Tift County,Georgia,GA,19509,21001,35.5,40510,51.84152061219452,31.45742933036171,-83.52660087699132,13277.0,40510
13279,Toombs County,Georgia,GA,12491,14557,36.4,27048,53.81913635019225,32.12161158005105,-82.33121596075421,13279.0,27048
13281,Towns County,Georgia,GA,5334,6083,53.7,11417,53.28019619865113,34.916710683206986,-83.73730602696065,13281.0,11417
13283,Treutlen County,Georgia,GA,3573,3204,39.7,6777,47.277556440903055,32.403874795903945,-82.56728819880553,13283.0,6777
13285,Troup County,Georgia,GA,33387,36387,36.3,69774,52.14979791899561,33.033539628253294,-85.02836514828462,13285.0,69774
13287,Turner County,Georgia,GA,3843,4119,38.8,7962,51.73323285606632,31.71638191961585,-83.6240915796479,13287.0,7962
13289,Twiggs County,Georgia,GA,4068,4216,46.2,8284,50.89328826653791,32.66720049189172,-83.42707722438509,13289.0,8284
13291,Union County,Georgia,GA,11048,11727,53.9,22775,51.490669593852914,34.83408734987639,-83.99071662776927,13291.0,22775
13293,Upson County,Georgia,GA,12503,13713,41.7,26216,52.30775099176076,32.881274804687685,-84.29934917654765,13293.0,26216
13295,Walker County,Georgia,GA,34082,34742,41.4,68824,50.47948390096478,34.73564648783483,-85.30099086456465,13295.0,68824
13297,Walton County,Georgia,GA,43775,46357,38.7,90132,51.43234367372298,33.78155675435902,-83.73386980893855,13297.0,90132
13299,Ware County,Georgia,GA,17753,17846,38.4,35599,50.130621646675465,31.053788550656524,-82.42371808286023,13299.0,35599
13301,Warren County,Georgia,GA,2475,2871,45.2,5346,53.70370370370371,33.408948174955924,-82.67675068794323,13301.0,5346
13303,Washington County,Georgia,GA,10361,10100,40.6,20461,49.36220126093544,32.96953472167585,-82.79593022594499,13303.0,20461
13305,Wayne County,Georgia,GA,15051,14716,38.2,29767,49.43729633486747,31.551447524552763,-81.91672490842868,13305.0,29767
13307,Webster County,Georgia,GA,1254,1359,45.0,2613,52.00918484500574,32.04664019353119,-84.55104518308963,13307.0,2613
13309,Wheeler County,Georgia,GA,5007,2932,38.2,7939,36.93160347650838,32.1170542401269,-82.72458014398126,13309.0,7939
13311,White County,Georgia,GA,14128,14800,46.1,28928,51.16150442477876,34.646410393624464,-83.74710566356966,13311.0,28928
13313,Whitfield County,Georgia,GA,51525,52324,36.0,103849,50.38469316026153,34.80561127358241,-84.96720773229018,13313.0,103849
13315,Wilcox County,Georgia,GA,5242,3604,39.5,8846,40.74157811440199,31.972897241156023,-83.43234537904169,13315.0,8846
13317,Wilkes County,Georgia,GA,4770,5114,46.1,9884,51.74018615944962,33.78194964640528,-82.74319597931739,13317.0,9884
13319,Wilkinson County,Georgia,GA,4349,4729,41.8,9078,52.09297202026878,32.80238192466023,-83.17123807562939,13319.0,9078
13321,Worth County,Georgia,GA,10040,10616,41.1,20656,51.39426800929512,31.551499844320897,-83.85089246342618,13321.0,20656
15001,Hawaii County,Hawaii,HI,98276,99382,42.3,197658,50.27977617905675,19.598720832762474,-155.51849348203964,15001.0,197658
15003,Honolulu County,Hawaii,HI,497646,489992,37.6,987638,49.61250984672522,21.500785361340995,-158.10533417955455,15003.0,987638
15005,Kalawao County,Hawaii,HI,38,37,57.1,75,49.333333333333336,21.17088723716075,-156.94752928958923,15005.0,75
